entity,precision,recall,f1,support
CHEMICAL,0.42610003760812337,0.4436178543461237,0.43468252445808553,2554
GENE_OR_GENOME,0.3017661388550548,0.41991525423728815,0.35116938341601706,2360
DISEASE_OR_SYNDROME,0.5737538148524923,0.5251396648044693,0.5483714146815751,1074
CARDINAL,0.7377584330794341,0.8052256532066508,0.7700170357751277,842
DATE,0.6903292181069959,0.8016726403823178,0.7418463239358762,837
ORG,0.0,0.0,0.0,449
CELL,0.5325581395348837,0.5504807692307693,0.541371158392435,416
GROUP,0.7926509186351706,0.841225626740947,0.8162162162162163,359
ORGANISM,0.5976095617529881,0.49504950495049505,0.5415162454873647,303
CELL_COMPONENT,0.4367469879518072,0.5017301038062284,0.4669887278582931,289
GPE,0.44285714285714284,0.5486725663716814,0.4901185770750988,226
PERSON,0.47368421052631576,0.19911504424778761,0.2803738317757009,226
THERAPEUTIC_OR_PREVENTIVE_PROCEDURE,0.5617977528089888,0.7317073170731707,0.6355932203389831,205
CORONAVIRUS,0.8533333333333334,0.9696969696969697,0.9078014184397163,198
EUKARYOTE,0.6582914572864321,0.6894736842105263,0.6735218508997429,190
TISSUE,0.2389937106918239,0.2389937106918239,0.2389937106918239,159
VIRUS,0.4966442953020134,0.49333333333333335,0.49498327759197325,150
QUANTITY,0.5254237288135594,0.6888888888888889,0.5961538461538461,135
LABORATORY_PROCEDURE,0.5384615384615384,0.17355371900826447,0.2625,121
MOLECULAR_FUNCTION,0.5304347826086957,0.5398230088495575,0.5350877192982456,113
BODY_PART_ORGAN_OR_ORGAN_COMPONENT,0.45217391304347826,0.5098039215686274,0.47926267281105983,102
LIVESTOCK,0.7317073170731707,0.9,0.8071748878923767,100
ORDINAL,0.945054945054945,0.8775510204081632,0.91005291005291,98
EVOLUTION,0.7017543859649122,0.5128205128205128,0.5925925925925926,78
IMMUNE_RESPONSE,0.6025641025641025,0.7230769230769231,0.6573426573426574,65
TIME,0.6363636363636364,0.3559322033898305,0.45652173913043476,59
RESEARCH_ACTIVITY,0.0,0.0,0.0,59
PRODUCT,0.0,0.0,0.0,58
SUBSTRATE,0.3763440860215054,0.6363636363636364,0.4729729729729729,55
WILDLIFE,0.8461538461538461,0.41509433962264153,0.5569620253164558,53
CELL_FUNCTION,0.75,0.40384615384615385,0.5250000000000001,52
NORP,0.375,0.058823529411764705,0.10169491525423728,51
DIAGNOSTIC_PROCEDURE,0.0,0.0,0.0,36
BODY_SUBSTANCE,0.4444444444444444,0.11428571428571428,0.1818181818181818,35
SIGN_OR_SYMPTOM,0.8461538461538461,0.39285714285714285,0.5365853658536585,28
CELL_OR_MOLECULAR_DYSFUNCTION,0.7916666666666666,0.7916666666666666,0.7916666666666666,24
VIRAL_PROTEIN,0.0,0.0,0.0,24
BACTERIUM,0.0,0.0,0.0,18
LABORATORY_OR_TEST_RESULT,0.0,0.0,0.0,18
LOC,0.0,0.0,0.0,17
INDIVIDUAL_BEHAVIOR,0.0,0.0,0.0,15
DAILY_OR_RECREATIONAL_ACTIVITY,0.5,0.07142857142857142,0.125,14
ANATOMICAL_STRUCTURE,0.0,0.0,0.0,14
GOVERNMENTAL_OR_REGULATORY_ACTIVITY,0.0,0.0,0.0,12
ORGAN_OR_TISSUE_FUNCTION,0.0,0.0,0.0,12
PERCENT,0.0,0.0,0.0,12
LAW,0.0,0.0,0.0,10
FAC,0.0,0.0,0.0,8
FOOD,0.0,0.0,0.0,8
MONEY,0.0,0.0,0.0,8
SOCIAL_BEHAVIOR,0.0,0.0,0.0,8
EXPERIMENTAL_MODEL_OF_DISEASE,0.0,0.0,0.0,6
HUMAN-CAUSED_PHENOMENON_OR_PROCESS,0.0,0.0,0.0,6
INJURY_OR_POISONING,0.0,0.0,0.0,5
MATERIAL,0.0,0.0,0.0,5
EVENT,0.0,0.0,0.0,3
WORK_OF_ART,0.0,0.0,0.0,3
LANGUAGE,0.0,0.0,0.0,2
